Monat,Kernenergie,Laufwasser,Biomasse,Braunkohle,Steinkohle,Öl,Erdgas,Geothermie,Speicherwasser,Andere,Erneuerbarer Müll,Nicht-erneuerbarer Müll,Wind Offshore,Wind Onshore,Solar
,Energie (GWh),Energie (GWh),Energie (GWh),Energie (GWh),Energie (GWh),Energie (GWh),Energie (GWh),Energie (GWh),Energie (GWh),Energie (GWh),Energie (GWh),Energie (GWh),Energie (GWh),Energie (GWh),Energie (GWh)
1,2904.5,1260.7,3594,9087.6,6386.3,900.1,7854,18.4,69.8,1356.8,367.9,424,3167.3,12935.5,1046.7
2,2693.5,963.6,3271.6,6680.8,4586.5,873.7,5276.9,16.7,48.2,1061.9,372.7,429.6,3016.5,17691.5,2397
3,2971.7,1006.4,3634.9,9661.9,6879.8,977.9,7267,18.9,98,1258.3,439.5,506.6,1418.1,6753.9,5899.9
4,2863.5,1184.6,3435.2,8664.8,3930.6,637.3,4910.1,18.2,81.4,965,398.8,459.6,1937.8,9491.5,6000.4
5,2236.3,1594.1,3478.9,8570.9,3093.7,44.1,5876.4,16.9,131.6,722.9,394.7,455,1497.8,6419.7,7900.1
6,2170.2,1630.8,3255.5,9324.6,3444.8,44.2,6196.2,13.6,150.1,748.5,319.1,367.8,1176.5,4391,8449.7
7,2922.5,1487.7,3348.8,9192.1,4123.5,57.5,5832.3,11.2,110.1,759.8,368.9,425.2,1791.8,5488.8,8483.4
8,2938.8,1408.1,3331.2,9240,5369.1,43,6398,13.4,92.2,715.2,363.2,418.7,1028.9,3503.1,7821.2
9,2890.7,1363.4,3319.6,9056,5834.8,36.4,5015.4,15,100.8,613.5,382.3,440.6,1930.6,6161.2,5152.9
10,2667.8,1486.8,3427.7,9018.8,3556.3,41.8,6215.7,14.3,104.3,555,403.7,465.3,2492.1,8554.7,3821.1
11,2834.7,1225.2,3465.9,9602.1,5728.3,118.1,5998.1,16.5,76.4,810.5,372,428.8,2848.7,10041.2,1828.9
12,2705.9,1212.1,3623.5,9199.1,6966.3,225.9,10445.3,17.9,61.5,1044.8,405,466.8,2705,9288.9,704.7