DATAFLOW,LAST UPDATE,freq,unit,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2018-01,434.27,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2018-02,543.30,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2018-03,470.87,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2018-04,149.37,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2018-05,63.02,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2018-06,22.67,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2018-07,3.53,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2018-08,11.04,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2018-09,73.26,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2018-10,200.05,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2018-11,370.89,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2018-12,432.68,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2019-01,529.89,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2019-02,376.06,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2019-03,336.97,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2019-04,237.95,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2019-05,201.98,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2019-06,4.22,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2019-07,16.58,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2019-08,3.48,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2019-09,86.66,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2019-10,198.22,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2019-11,373.64,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2019-12,435.16,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2020-01,445.18,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2020-02,357.49,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2020-03,381.55,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2020-04,226.14,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2020-05,175.98,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2020-06,33.81,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2020-07,18.03,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2020-08,6.56,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2020-09,76.01,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2020-10,222.86,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2020-11,340.30,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2020-12,457.12,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2021-01,530.50,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2021-02,445.33,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2021-03,392.66,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2021-04,347.14,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2021-05,211.34,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2021-06,7.23,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2021-07,3.59,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2021-08,22.94,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2021-09,56.85,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2021-10,239.78,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2021-11,382.27,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2021-12,474.56,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2022-01,462.78,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2022-02,367.50,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2022-03,388.49,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2022-04,299.09,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2022-05,99.91,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2022-06,18.98,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2022-07,5.65,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2022-08,1.35,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2022-09,115.61,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2022-10,140.12,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2022-11,336.64,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,M,NR,HDD,DE,2022-12,500.20,
